Station_Year,Year,Method,Station.Code,Period,Intended.Period,Date,Species.Code,Total.Number,Start.Time,X0.3min..50m,X0.3min..50m.1,X0.3min.flyovers,X3.5min..50m,X3.5min..50m.1,X3.5min.flyovers,X5.10min..50m,X5.10min..50m.1,X5.10min.flyovers,Exclude.Data,Exclude.Reason...Comments,Breeder,X,tagmeth,lat,lon,date,dur,dis,time,offset
BCDS_2011,2011,PC,BCDS,7,7,1-Jul-11,LISP,1,4:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/1/2011,10,Inf,4:21,0.6254
BCDS_2011,2011,PC,BCDS,7,7,1-Jul-11,OVEN,1,4:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/1/2011,10,Inf,4:21,-5.0843
BCDS_2011,2011,PC,BCDS,7,7,1-Jul-11,RWBL,1,4:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/1/2011,10,Inf,4:21,1.1409
BCDS_2011,2011,PC,BCDS,7,7,1-Jul-11,SAVS,1,4:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/1/2011,10,Inf,4:21,0.98
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,LEFL,3,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,0.2609
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,MAWR,2,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,0.869
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,OVEN,2,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,-5.9892
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,WTSP,2,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,1.1963
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,AMRO,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,-9.4511
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,CCSP,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,0.7545
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,CHSP,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,0.6403
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,COLO,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,LISP,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,0.6254
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,REVI,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/11/2011,10,Inf,4:20,-0.343
BCDS_2011,2011,PC,BCDS,8,8,11-Jul-11,RNGR,1,4:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2011,2011,PC,BCDS,9,9,24-Jul-11,ALFL,3,4:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/24/2011,10,Inf,4:50,0.2846
BCDS_2011,2011,PC,BCDS,9,9,24-Jul-11,MAWR,2,4:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/24/2011,10,Inf,4:50,0.8645
BCDS_2011,2011,PC,BCDS,9,9,24-Jul-11,CCSP,1,4:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/24/2011,10,Inf,4:50,0.7521
BCDS_2011,2011,PC,BCDS,9,9,24-Jul-11,SWSP,1,4:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/24/2011,10,Inf,4:50,0.9208
BCDS_2011,2011,PC,BCDS,10,10,30-Jul-11,CEDW,6,5:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/30/2011,10,Inf,5:17,0.6588
BCDS_2011,2011,PC,BCDS,10,10,30-Jul-11,ALFL,3,5:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/30/2011,10,Inf,5:17,0.1146
BCDS_2011,2011,PC,BCDS,10,10,30-Jul-11,CANG,2,5:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2011,2011,PC,BCDS,10,10,30-Jul-11,REVI,1,5:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,7/30/2011,10,Inf,5:17,-1.0265
BCDS_2011,2011,PC,BCDS,10,10,30-Jul-11,RNGR,1,5:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCDS_2012,2012,PC,BCDS,10,10,27-Jul-12,None,0,5:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No birds during pc,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA
